Subject,Predicate,Object
https://authority.archives.go.kr/agent/OG0003138,http://isni.org/ontology#identifierValid,000000046404888X
https://authority.archives.go.kr/record/OG0003138,https://www.ica.org/standards/RiC/ontology#hasCreator,https://authority.archives.go.kr/agent/k00001
https://authority.archives.go.kr/agent/OG0003138,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://www.ica.org/standards/RiC/ontology#Agent
https://authority.archives.go.kr/record/OG0003138,https://www.ica.org/standards/RiC/ontology#lastModificationDate,2010-01-26
N0109853c3cd04956ac325cf20db2a372,https://www.ica.org/standards/RiC/ontology#name,수정
https://authority.archives.go.kr/agentName/OG0003138-chineseCharacter,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://www.ica.org/standards/RiC/ontology#AgentName
N0109853c3cd04956ac325cf20db2a372,https://www.ica.org/standards/RiC/ontology#descriptiveNote,김현채(2010년 1월 26일) : 기관연혁수정
https://authority.archives.go.kr/instantiation/OG0003138,https://www.ica.org/standards/RiC/ontology#isOrWasRegulatedBy,https://authority.archives.go.kr/rule/ric-o
https://authority.archives.go.kr/agent/OG0003138,https://www.ica.org/standards/RiC/ontology#hasOrHadAgentName,https://authority.archives.go.kr/agentName/OG0003138-korean
https://authority.archives.go.kr/agentName/OG0003138-korean,https://www.ica.org/standards/RiC/ontology#isOrWasRegulatedBy,https://authority.archives.go.kr/rule/ric-o
https://authority.archives.go.kr/agent/OG0003138,https://www.ica.org/standards/RiC/ontology#hasOrHadAgentName,https://authority.archives.go.kr/agentName/OG0003138-chineseCharacter
https://authority.archives.go.kr/agent/OG0003138,https://www.ica.org/standards/RiC/ontology#hasOrHadLegalStatus,https://authority.archives.go.kr/thesaurus/central_administrative_gency
https://authority.archives.go.kr/instantiation/OG0003138,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://www.ica.org/standards/RiC/ontology#Instantiation
https://authority.archives.go.kr/agent/OG0003138,http://www.w3.org/2002/07/owl#sameAs,https://description.archives.go.kr/national_archives_korea
https://authority.archives.go.kr/instantiation/OG0003138,https://www.ica.org/standards/RiC/ontology#hasOrHadHolder,https://authority.archives.go.kr/agent/k00001
N4cecc5da2dd14d94941a333adcd89a40,https://www.ica.org/standards/RiC/ontology#name,최초기술
https://authority.archives.go.kr/agentName/OG0003138-chineseCharacter,https://www.ica.org/standards/RiC/ontology#textualValue,行政自治部 國家記錄院
https://authority.archives.go.kr/agent/OG0003138,https://www.ica.org/standards/RiC/ontology#agentIsSourceOfAgentTemporalRelation,https://authority.archives.go.kr/agentTemporalRelation/OG0003138-OG0028509-20080229-20130323
